"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"1498";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"18";"13";"a4";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"3,0";"2";"1";"1";"1";"1";"1";"1";"1";"1"
"1504";"männlich";"Ja";"Abitur, Hochschulreife";"23";"99";"a5";"Blau";"1";"1";"1";"1";"1";"1";"2";"1";"3";"1";"1";"1";"1";"1";"1";"1";"4";"3";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0";"2";"2,5";"3,0";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"1517";"männlich";"Ja";"Abitur, Hochschulreife";"24";"14";"a3";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1523";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"33";"a5";"Grün";"4";"2";"2";"4";"3";"2";"2";"2";"3";"2";"2";"3";"4";"4";"2";"4";"4";"3";"3,0";"2,0";"2,5";"4,0";"3,5";"2,0";"2";"3,0";"3,0";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1529";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"37";"a5";"Grün";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"4";"3";"4";"4";"3";"3";"5";"3,0";"3,0";"3,5";"3,0";"3,5";"3,5";"3";"3,0";"5,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1535";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Blau";"2";"4";"2";"4";"2";"2";"2";"4";"5";"1";"2";"2";"5";"2";"2";"2";"4";"2";"1,5";"3,0";"2,0";"4,5";"2,0";"2,0";"2";"4,0";"3,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1541";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Grün";"4";"4";"4";"4";"4";"4";"4";"3";"2";"5";"4";"5";"4";"5";"5";"4";"4";"2";"4,5";"4,0";"4,5";"4,0";"4,5";"4,5";"4";"3,5";"2,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1550";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"15";"a5";"Blau";"3";"3";"3";"3";"3";"3";"3";"4";"3";"2";"3";"3";"3";"3";"3";"3";"4";"5";"2,5";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"4,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1558";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"40";"10";"a4";"Grün";"4";"4";"3";"3";"3";"3";"3";"4";"3";"3";"3";"4";"3";"4";"3";"3";"3";"3";"3,5";"3,5";"3,5";"3,0";"3,5";"3,0";"3";"3,5";"3,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1566";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Blau";"3";"3";"3";"2";"2";"2";"3";"3";"5";"3";"3";"3";"3";"4";"3";"2";"3";"2";"3,0";"3,0";"3,0";"2,5";"3,0";"2,5";"3";"3,0";"3,5";"1";"2";"2";"1";"1";"2";"1";"1";"1"
